source	result	detail
audit/blind/fixtures/a1-named-arguments-source-order.hd	added	runtime/valid/named-arguments-evaluate-in-source-order.hd
audit/blind/fixtures/a1-short-circuit-and-conditional.hd	added	runtime/valid/short-circuit-and-conditional-evaluation.hd
audit/blind/fixtures/a1-bang-call-arguments-before-body.hd	added	runtime/valid/bang-call-arguments-before-body.hd
audit/blind/fixtures/a1-operands-across-suspension.hd	added	runtime/valid/operands-across-suspension-order.hd
audit/blind/fixtures/a1-assignment-evaluation-order.hd	added	runtime/valid/assignment-place-before-value.hd (AMB-18 read as settled: ch05 place rules take the receiver as any mutable composite expression, and "a field assignment evaluates its receiver")
audit/blind/fixtures/a1-map-literal-and-comprehension-order.hd	added	runtime/valid/map-literal-and-comprehension-order.hd
audit/blind/fixtures/a1-propagation-before-cleanup.hd	added	runtime/valid/propagation-before-cleanup.hd
audit/blind/fixtures/a2-cancel-nested-frames-order.hd	added	runtime/valid/cancellation-lifo-across-three-frames.hd (AMB-06 settled: README holds the pending function at every poll; may overlap the gates probes s3-cancel-order-3-frames and s3-cancel-lifo-within-frame)
audit/blind/fixtures/a2-cancel-loop-and-branch-scopes.hd	added	runtime/valid/cancellation-loop-and-branch-scopes.hd
audit/blind/fixtures/a2-cancel-provider-scope-cleanup.hd	added	runtime/valid/cancellation-provider-scope-cleanup.hd
audit/blind/fixtures/a2-cancel-cold-and-completed.hd	added	runtime/valid/cancel-cold-and-completed-suspension.hd
audit/blind/fixtures/a2-drive-cancelled-suspension-panics.hd	skipped	duplicate of existing runtime/panic/drive-cancelled-suspension.hd (same program shape and panic)
audit/blind/fixtures/a2-defer-cancels-active-ancestor.hd	added	runtime/panic/defer-cancels-active-ancestor.hd (differs from reentrant-cancel.hd: the cancel runs from a defer suite; AMB-05 moot, panic line not judged)
audit/blind/fixtures/a2-defer-transitive-block-on.hd	added	typing/invalid/defer-transitive-block-on-plain-twin.hd (near defer-block-on.hd; kept for the plain-helper twin, which must not be diagnosed)
audit/blind/fixtures/a2-defer-suspending-vs-cold.hd	added	typing/invalid/defer-bang-call-cold-twin.hd (kept for the cold-construction twin, which must not be diagnosed)
audit/blind/fixtures/a3-nested-provider-restoration.hd	added	runtime/valid/nested-provider-restoration.hd
audit/blind/fixtures/a3-subtraction-restores-provider.hd	added	runtime/valid/row-subtraction-restores-provider.hd
audit/blind/fixtures/a3-row-union-and-order.hd	added	runtime/valid/requirement-row-union-and-order.hd
audit/blind/fixtures/a3-missing-requirement-sites.hd	added	typing/invalid/missing-requirement-cold-construction.hd (split: only the construction-site marker kept; the callback-site marker duplicates row-inference-unavailable-provider.hd. Offending function made pub so its empty row is written: under round-2 I6 a non-pub fn without a clause infers its row and would not be rejected)
audit/blind/fixtures/a3-provider-capture-timing.hd	added	runtime/valid/provider-capture-timing.hd
