source	action	destination	note
test/fixtures/compiler-types/callbacks/function-values.hd	converted	spec/conformance/runtime/valid/function-value-argument.hd	-
test/fixtures/compiler-types/callbacks/readonly-result.hd	converted	spec/conformance/runtime/valid/function-field-returns-mutable-data.hd	-
test/fixtures/compiler-types/callbacks/requirement-function-values.hd	converted by hand	spec/conformance/runtime/valid/requirement-function-value.hd	F-201: declare Clock; call through a provider scope in a test block
test/fixtures/compiler-types/callbacks/trailing.hd	converted	spec/conformance/runtime/valid/trailing-callback-blocks.hd	-
test/fixtures/compiler-types/closures/captures.hd	converted	spec/conformance/runtime/valid/closure-captures-local.hd	-
test/fixtures/compiler-types/closures/nested-captures.hd	converted	spec/conformance/runtime/valid/nested-closure-captures.hd	-
test/fixtures/compiler-types/closures/provider-captures.hd	converted by hand	spec/conformance/runtime/valid/closure-captures-provider-scope.hd	F-201: declare Clock and Backup
test/fixtures/compiler-types/closures/requirement-inference/inferred-row.hd	converted by hand	spec/conformance/runtime/valid/closure-inferred-requirement-row.hd	F-201: declare Clock
test/fixtures/compiler-types/closures/requirement-inference/missing-requirement.hd	converted by hand	spec/conformance/typing/invalid/closure-inferred-row-missing-requirement.hd	F-201: declare Clock
test/fixtures/compiler-types/closures/requirements.hd	converted by hand	spec/conformance/runtime/valid/closure-explicit-requirement-row.hd	F-201: declare Clock
test/fixtures/compiler-types/collections/lists/empty-needs-context.hd	held back	test/fixtures/compiler-types/collections/lists/empty-needs-context.hd	marks empty-list-needs-context, which spec/README.md does not inventory (F-205)
test/fixtures/compiler-types/collections/lists/erased-storage.hd	converted	spec/conformance/runtime/valid/generic-list-element.hd	-
test/fixtures/compiler-types/collections/lists/heterogeneous-elements.hd	moved	spec/conformance/typing/invalid/heterogeneous-list-bool-int.hd	-
test/fixtures/compiler-types/collections/lists/void-element-type.hd	held back	test/fixtures/compiler-types/collections/lists/void-element-type.hd	marks unknown-type for list[void]; void resolves, and the spec names no code for a void type argument
test/fixtures/compiler-types/collections/maps/empty-needs-context.hd	held back	test/fixtures/compiler-types/collections/maps/empty-needs-context.hd	marks empty-map-needs-context, which spec/README.md does not inventory (F-205)
test/fixtures/compiler-types/collections/maps/float-key.hd	moved	spec/conformance/typing/invalid/float-literal-map-key.hd	-
test/fixtures/compiler-types/collections/maps/heterogeneous-values.hd	moved	spec/conformance/typing/invalid/heterogeneous-map-values.hd	-
test/fixtures/compiler-types/collections/maps/lookup-replacement.hd	converted	spec/conformance/runtime/valid/map-lookup-and-duplicate-keys.hd	-
test/fixtures/compiler-types/collections/trait-lists.hd	converted	spec/conformance/runtime/valid/list-of-trait-values.hd	-
test/fixtures/compiler-types/data/generic/erased-layout.hd	converted	spec/conformance/runtime/valid/generic-data-fields.hd	-
test/fixtures/compiler-types/data/generic/mismatched-field-type.hd	moved	spec/conformance/typing/invalid/generic-data-field-type-mismatch.hd	-
test/fixtures/compiler-types/enums/generic/context-required.hd	held back	test/fixtures/compiler-types/enums/generic/context-required.hd	marks generic-enum-needs-context, which spec/README.md does not inventory (F-205)
test/fixtures/compiler-types/enums/generic/erased-payloads.hd	converted	spec/conformance/runtime/valid/generic-enum-payloads.hd	-
test/fixtures/compiler-types/enums/generic/unsaturated-type.hd	held back	test/fixtures/compiler-types/enums/generic/unsaturated-type.hd	marks unknown-type for a generic enum used without arguments; the name resolves, and no inventoried code fits
test/fixtures/compiler-types/generics/callable-adapter.hd	converted	spec/conformance/runtime/valid/generic-callable-adapter.hd	-
test/fixtures/compiler-types/generics/functions/inconsistent-inference.hd	moved	spec/conformance/typing/invalid/generic-inference-conflict.hd	-
test/fixtures/compiler-types/generics/functions/inference-and-boxing.hd	converted	spec/conformance/runtime/valid/generic-inference-scalars-and-data.hd	-
test/fixtures/compiler-types/generics/functions/unresolved-placeholder.hd	moved	spec/conformance/typing/invalid/unresolved-generic-return-placeholder.hd	-
test/fixtures/compiler-types/generics/functions/unsaturated-function-value.hd	held back	test/fixtures/compiler-types/generics/functions/unsaturated-function-value.hd	marks generic-function-value-needs-arguments, which spec/README.md does not inventory (F-205)
test/fixtures/compiler-types/generics/option-result.hd	converted	spec/conformance/runtime/valid/generic-optional-and-result.hd	-
test/fixtures/compiler-types/identity/references/gc-identity.hd	converted	spec/conformance/runtime/valid/reference-identity.hd	-
