id	source	claim	evidence	note
C001	MVP_PLAN:6-7	S0 gate checks every supported manifest parser case and a checked-in structural AST snapshot	ast:;sel:parse	
C002	MVP_PLAN:7-9;README:42-43	Doc comments retain joined text on AST declarations and members; unattached comments get the specified diagnostic	tf:frontend/27-documentation-comments-attach-to-ast-declarations-and-members.hd;cf:parse/invalid/doc-comment-without-target.hd;pr:p86-orphan-doc.hd	AST text retention is checked only by a TS test (UNVERIFIED by CLI)
C003	MVP_PLAN:9-10	Parser preserves named-argument, vararg, positional-spread markers and enforces ordering	cf:parse/invalid/positional-after-named.hd;cf:typing/invalid/nonfinal-spread.hd;pr:p10-vararg-nonfinal-spread.hd	
C004	MVP_PLAN:10-13;README:44-46	Named arguments preserve source evaluation order for static functions	pr:p01-named-arg-order.hd	fixture 13 cannot observe order (constant values); probe uses a log
C005	MVP_PLAN:11-12	Named arguments preserve source order through dynamic trait dispatch	pr:p02-named-arg-order-method-dynamic.hd;tf:compiler/18-named-arguments-work-through-static-and-dynamic-trait-dispatch.hd	
C006	MVP_PLAN:11	Named arguments preserve source order for suspending calls	pr:p03-named-arg-order-suspending.hd	
C007	MVP_PLAN:12	Named arguments work for enum payload constructors with source order	pr:p04-enum-payload-named-order.hd;tf:compiler/14-named-enum-payloads-preserve-source-evaluation-order.hd	
C008	MVP_PLAN:13-15;README:47-49	Pure parameter defaults run after explicit arguments in declaration order and may read earlier parameters	pr:p05-defaults-earlier-param-per-call.hd;tf:compiler/10-function-parameter-defaults-evaluate-after-explicit-arguments.hd	
C009	MVP_PLAN:13-15	Parameter defaults work for generic and suspending functions	pr:p08-default-generic-and-suspending.hd	
C010	MVP_PLAN:13	Parameter defaults must be pure	pr:p07-default-impure-rejected.hd;tf:compiler/11-function-parameter-defaults-enforce-order-type-and-purity-impure-parameter-default.hd	code impure-parameter-default is not in spec/README.md inventory
C011	spec 07:104 via README:48	A default may not refer to a later parameter	pr:p06-default-later-param-rejected.hd	rejected, but reported as impure-parameter-default (misleading)
C012	MVP_PLAN:15-18;README:50-52	Varargs accept positional elements, one list spread, or a named list, incl. generic	pr:p09-varargs-forms.hd;tf:compiler/08-homogeneous-varargs-lower-through-the-existing-list-abi.hd	
C013	MVP_PLAN:17-18	Varargs work across suspending, static-trait and dynamic-trait calls	tf:compiler/12-varargs-work-in-suspending-and-trait-method-calls.hd	
C014	MVP_PLAN:18-19;README:53-54	First-class fn(T...) -> U values keep the list ABI	pr:p11-vararg-function-value.hd;tf:compiler/09-first-class-vararg-functions-retain-their-calling-convention.hd	
C015	MVP_PLAN:19-21;README:110-112	Data-field defaults are purity-checked and evaluated after explicit initializers	pr:p12-data-init-order.hd;cf:typing/invalid/impure-data-default.hd;tf:compiler/31-data-field-defaults-run-per-construction-after-explicit-fields.hd	
C016	MVP_PLAN:21-23;README:112	Copy-update evaluates the source once, then replacements in source order, without defaults for copied fields	pr:p13-copy-update-order.hd	fixture 33 result is order-independent; probe uses a log
C017	MVP_PLAN:23	Copy-update constructs a fresh Wasm GC struct	pr:p14-copy-update-fresh-struct.hd	
C018	MVP_PLAN:23-24;README:56	Functions and named function values execute	tf:compiler-types/callbacks/function-values.hd	
C019	MVP_PLAN:24-25;README:130-133	Nested and recursive closures with inference and transitive captures	pr:p57-closure-captures.hd;tf:compiler-types/closures/nested-captures.hd;tf:compiler/62-nonrecursive-closures-infer-result-types-from-fallthrough-and-returns.hd	
C020	MVP_PLAN:25-27;README:79-80	Named local functions share the closure representation, recurse, capture, suspend and forward requirements	tf:compiler/64-named-local-functions-capture-enclosing-values-and-recurse.hd;tf:suspension/44-named-local-suspending-functions-capture-recurse-and-forward-requirements.hd	
C021	MVP_PLAN:27-28;README:69-70	Explicit generic call lists with _ inference; partial lists rejected	cf:typing/valid/generic-argument-placeholder.hd;cf:typing/invalid/partial-generic-arguments.hd;cf:typing/invalid/unresolved-generic-placeholder.hd	
C022	MVP_PLAN:28;README:70-71	Contextually typed trailing callback blocks	tf:compiler-types/callbacks/trailing.hd;cf:parse/invalid/two-trailing-blocks.hd	
C023	MVP_PLAN:28-29;README:72-73	Stored callable fields keep their result permission through readonly outer access	tf:compiler-types/callbacks/readonly-result.hd;cf:typing/valid/readonly-callable-mutable-result.hd	
C024	MVP_PLAN:29-30;README:110	Data lowers to GC structs; fieldless data to an empty GC struct	tf:compiler/25-data-declarations-lower-to-wasm-gc-structs.hd;tf:compiler/35-fieldless-data-lowers-to-an-empty-wasm-gc-struct.hd	
C025	MVP_PLAN:30-31;README:116-119	Shared enum constructor data via per-variant factories with pure ordered defaults	tf:compiler/17-shared-enum-data-uses-per-variant-factories-and-pure-ordered-defaults.hd;cf:typing/invalid/impure-shared-enum-default.hd;cf:typing/invalid/shared-enum-default-order.hd	
C026	MVP_PLAN:32;README:120	Contextual enum construction and patterns	pr:p51-contextual-enum.hd;tf:compiler/50-contextual-enum-variant-expressions-use-their-expected-type.hd	
C027	MVP_PLAN:32-34;README:121-126	Guarded, literal and recursive data patterns; named payload bindings; nested payload constraints	pr:p53-literal-match.hd;tf:compiler/37-data-patterns-destructure-nested-fields-and-test-literals.hd;tf:compiler/15-named-enum-payload-patterns-resolve-bindings-by-field-name.hd;tf:compiler/16-literal-enum-payload-patterns-constrain-variants-in-wasm-and-suspension-.hd	
C028	MVP_PLAN:34;README:99-100	Value-producing while and while-else	pr:p35-loop-else-values.hd;tf:compiler/23-while-else-produces-values-on-break-or-normal-exhaustion-broken.hd	
C029	MVP_PLAN:34-35;README:84	Checked integer power and IEEE floating power	pr:p24-power.hd;pr:p25-power-overflow.hd	
C030	MVP_PLAN:35;README:81	char values carry Unicode scalars and compare in scalar order	tf:compiler/42-character-literals-carry-unicode-scalar-values-and-compare-in-scalar-ord.hd	
C031	MVP_PLAN:35;README:84-85	UTF-8 string concatenation and ordering	pr:p19-string-len-order.hd;tf:compiler/40-strings-compare-by-utf-8-value-order.hd	
C032	MVP_PLAN:35-37;README:87-90	Interpolated segments use canonical Display in source order	pr:p16-interpolation-order.hd;tf:compiler/39-string-interpolation-displays-built-ins-left-to-right.hd	
C033	MVP_PLAN:37-38	Primitive Display uses shortest-round-trip float formatting	pr:p17-float-display.hd;cf:runtime/valid/float-display.hd	
C034	MVP_PLAN:38-40;README:88	Generic bounds reuse ordinary Display dispatch (incl. standard primitive implementations)	pr:p92-primitive-bounds.hd	primitives fail T: Display, T: PartialEq, T: PartialOrd bounds
C035	MVP_PLAN:39-40;README:89	Dynamic Display values dispatch through trait paths	cf:runtime/valid/display-dispatch.hd	
C036	MVP_PLAN:40-42;README:241-242	string.split keeps empty pieces and splits an empty separator at scalar boundaries	pr:p18-split.hd;tf:compiler/65-string-split-preserves-boundaries-and-unicode-scalars.hd	
C037	MVP_PLAN:42-44;README:91-93	println needs a lexical Console provider and streams UTF-8	tf:suspension/27-println-requires-console-and-streams-displayed-utf-8-through-the-host-bo.hd;tf:suspension/27-println-requires-console-and-streams-displayed-utf-8-through-the-host-bo-missing-requirement.hd	
C038	MVP_PLAN:45;README:118	Numeric access to unnamed shared enum fields	tf:compiler/41-strings-concatenate-and-unnamed-enum-fields-use-numeric-selectors.hd	
C039	MVP_PLAN:45-47;README:85,119	Reference identity via ref.eq; sealed Reference bounds; canonical fieldless variants	pr:p46-identity.hd;tf:compiler-types/identity/references/gc-identity.hd;cf:typing/invalid/unbounded-generic-identity.hd	
C040	spec 05:356-371 (README:85)	Identity is unaffected by mut access permission	pr:p93-identity-mut-operands.hd	mut operands rejected with identity-requires-references/type-mismatch
C041	MVP_PLAN:47-49;README:113-115	mut T weakens only toward T; readonly roots and edges checked	pr:p48-readonly-alias-shared.hd;pr:p49-mutable-upgrade-rejected.hd;pr:p50-readonly-root-write.hd;cf:typing/invalid/missing-mutable-edge.hd	
C042	MVP_PLAN:49	Direct-versus-generic field permission rule at construction and access	cf:typing/valid/generic-field-permission.hd;cf:typing/invalid/readonly-generic-field-init.hd	
C043	MVP_PLAN:50;README:115	Field writes lower through mutable struct fields	tf:compiler/26-mutable-data-paths-weaken-one-way-and-share-wasm-gc-identity.hd	
C044	MVP_PLAN:50-51;README:82-83	Heterogeneous tuples keep exact element types and erased array storage	pr:p36-tuple-binding-once.hd;tf:compiler-types/tuples/heterogeneous/gc-storage.hd	
C045	MVP_PLAN:51-52	Simultaneous tuple bindings stage the initializer once	pr:p36-tuple-binding-once.hd	
C046	MVP_PLAN:53-55;README:106-108	Binding expressions evaluate once, bind in the enclosing scope, diagnose conditional uses	pr:p37-binding-conditional-use.hd;tf:compiler/61-binding-expressions-return-values-and-bind-in-enclosing-scope.hd;cf:typing/invalid/possibly-uninitialized-binding.hd	
C047	MVP_PLAN:56-57;README:101-102	for loops evaluate the iterable once, keep map insertion order, bind tuples, support loop-else	pr:p32-map-order.hd;pr:p35-loop-else-values.hd;tf:compiler/24-for-loops-iterate-lists-and-maps-with-continue-destructuring-and-else-va.hd	
C048	MVP_PLAN:58-60;README:103-105	Comprehensions: left-to-right nested clauses, filters, duplicate map-key replacement	pr:p33-comprehension-order.hd;tf:compiler/60-comprehensions-lower-nested-filters-and-map-replacement.hd	
C049	MVP_PLAN:60-61;README:105	Suspension calls in comprehensions get suspension-forbidden-context	pr:p34-comprehension-suspension.hd;tf:compiler/60-comprehensions-reject-suspension-calls.hd	
C050	MVP_PLAN:61-63;README:246	Mutable list/map roots support indexed replacement; readonly roots keep element permissions	tf:compiler/27-mutable-list-and-map-roots-support-indexed-replacement.hd;cf:typing/invalid/readonly-list-element-replacement.hd;cf:typing/invalid/readonly-map-entry-replacement.hd	
C051	MVP_PLAN:64;README:127-129	Optional/Result propagation with ?	pr:p54-propagation.hd;tf:compiler/54-optionals-inject-plain-values-match-both-cases-and-propagate-nil.hd	
C052	MVP_PLAN:64;README:243	Non-suspending defer runs LIFO after the return value, on break and continue	pr:p73-defer-order.hd;cf:runtime/valid/defer-order.hd	
C053	MVP_PLAN:65-67	Warnings unreachable-code, unused-local, variant-binding-name-mismatch are non-fatal	pr:p87-unused-local.hd;pr:p88-unreachable.hd;cf:typing/warnings/variant-binding-name-mismatch.hd	
C054	MVP_PLAN:67-68;README:259	Complete prelude namespace protected from declaration and binding shadowing	pr:p84-prelude-shadow.hd;cf:typing/invalid/prelude-shadow.hd;tf:compiler/19-shadow-result.hd	
C055	MVP_PLAN:68-69;README:62-63	Public signatures reject private type and requirement leaks	pr:p85-private-leak.hd;cf:typing/invalid/private-requirement-row.hd	
C056	MVP_PLAN:69-70;README:63-65	Public main rows checked against the Console host profile	cf:typing/invalid/nonhost-entry-requirement.hd;cf:typing/valid/host-entry-requirement.hd	
C057	MVP_PLAN:71-74;README:66-68	Test blocks are checked as driver bodies with the same must-use rules and emitted as __hd_test_N exports	pr:p56-must-use-test-block.hd;cli:__hd_test_0	
C058	MVP_PLAN:74-77	Curated gate asserts stable diagnostics and executes panic cases through Wasm GC	sel:all	
C059	MVP_PLAN:78-80;README:57-59	Module bindings lower to typed globals; functions can reassign top-level let	pr:p40-module-reassign.hd;tf:suspension/31-module-bindings-lower-to-wasm-globals-shared-with-declared-functions.hd	
C060	MVP_PLAN:80-81;README:59-60	Source-order visibility of module bindings in function bodies	cf:typing/invalid/forward-module-binding.hd	
C061	MVP_PLAN:81-83;README:60	Top-level initializers are checked for transitive reads before initialization	pr:p39-module-transitive-read.hd;cf:typing/invalid/transitive-uninitialized-binding.hd	
C062	MVP_PLAN:83-85;README:60-61	A start function runs module initialization exactly once before main	pr:p38-module-init-once.hd;cli:(start;cf:runtime/valid/module-initialization-before-main.hd	
C063	MVP_PLAN:86-87;README:273-274	Unsupported interpolated values receive missing-display	pr:p89-missing-display.hd;tf:compiler/display-requires-implementation.hd	
C064	MVP_PLAN:86-89;README:134-138	Concrete row normalization and hidden provider threading with $.use and lexical $.with overrides	pr:p59-lexical-override.hd;tf:requirements/lexical-override.hd;tf:compiler-types/requirements/normalization/grouped.hd	
C065	MVP_PLAN:89;README:195-196	Reusable GC-backed contexts and left-to-right context spreads	pr:p64-context-spread.hd;tf:compiler-types/requirements/contexts.hd	
C066	MVP_PLAN:89;README:137	Ordered multi-provider tuple lookup	pr:p61-multi-use-order.hd;tf:suspension/28-multi-provider-use-preserves-requested-tuple-order-through-wasm-gc.hd	
C067	MVP_PLAN:90-91;README:132-133	Escaping closures keep captured lexical providers	pr:p58-closure-provider-escape.hd;tf:compiler-types/closures/provider-captures.hd	
C068	MVP_PLAN:91-92;README:139-140	Requirement-bearing closure types with least-row inference	tf:compiler-types/closures/requirement-inference/inferred-row.hd;tf:compiler-types/closures/requirements.hd	
C069	MVP_PLAN:92;README:134-135	Transitive requirement-path explanations	cli:explain-requirements;tf:requirements/transitive-call-paths.hd	
C070	MVP_PLAN:92-94;README:141-143	Generic row inference, least-row union, symbolic subtraction, provider packs	tf:compiler-types/requirements/row-union.hd;tf:compiler-types/requirements/row-pack.hd;cf:typing/valid/row-subtraction-entailment.hd;cf:typing/invalid/row-subtraction-unsound.hd	
C071	MVP_PLAN:94;README:143	Lexical restoration of a subtracted key	pr:p62-row-subtraction-restore.hd;tf:compiler-types/requirements/row-subtraction/provider-restoration.hd	
C072	MVP_PLAN:95	Repeated-row mismatch checking	tf:compiler-types/requirements/row-inference/conflicting-row.hd	
C073	MVP_PLAN:95-96;README:144	Non-fatal requirement-subtract-absent warning	cf:typing/warnings/requirement-subtract-absent.hd	
C074	MVP_PLAN:96-98;README:145-146	Erased generic marker traits as provider keys; collisions under substitution rejected	cf:typing/invalid/generic-requirement-key-collision.hd;cf:typing/valid/distinct-requirement-keys.hd;tf:compiler-types/requirements/generic-provider-keys/consistent-substitution.hd	
C075	MVP_PLAN:101-102	Runtime profiles admit fixture-defined host capability traits as dynamic trait values	tf:suspension/32-host-provider-polls-record-and-replay.hd;cf:runtime/valid/cancellation-runs-defer.hd	
C076	MVP_PLAN:102-104;README:94-96,227-229	Suspending host methods pass i32/f64/bool/char/string arguments and results	tf:suspension/33-host-provider-scalar-arguments-and-results.hd;tf:suspension/35-host-provider-f64-values-use-durable-bit-encoding.hd;tf:suspension/36-host-provider-strings-use-utf8-boundary.hd;ht:flip args=[1];ht:next_char args=[97];ht:result=6 (expected 6)	bool/char checked via Node API probe host-token.ts
C077	MVP_PLAN:104-105	Poll, result retrieval and cancellation cross the host boundary; cleanup stays in Wasm	cf:runtime/valid/cancellation-runs-defer.hd	
C078	MVP_PLAN:108;README:95	Each host invocation has an opaque token; calls from the same site stay distinct	ht:distinct tokens=true;pr:host/token-and-scalars.hd	sequential calls only; concurrent calls need all!/race!, which are unsupported
C079	MVP_PLAN:110-111;README:197	Cold GC-frame construction: body does not run until driven	pr:p66-cold-construction.hd;tf:suspension/01-suspending-functions-construct-gc-frames-and-bang-calls-drive-them.hd	
C080	MVP_PLAN:111;README:197	Construction-time provider capture, including child frames created later	cf:runtime/valid/construction-provider-capture.hd;gp:s3-nested-provider-capture.hd	
C081	MVP_PLAN:111-112;README:199-200	One-shot state checks: second drive traps	pr:p67-second-drive.hd;cf:runtime/panic/second-suspension-drive.hd	
C082	MVP_PLAN:112	Synchronous cancellation of cold suspensions is idempotent	tf:suspension/07-cold-suspension-cancellation-is-synchronous-and-idempotent.hd	
C083	MVP_PLAN:112-114;README:204-206	std.task.block_on drives a mutable stored suspension from non-suspending code	pr:p69-fn-bang-weakening.hd;tf:suspension/29-imported-block-on-drives-stored-suspensions-and-rejects-nested-drivers.hd	
C084	MVP_PLAN:114-116;README:206	Driver guard rejects nested and competing drivers; reentrant poll/cancel rejected	pr:p72-block-on-nested.hd;cf:runtime/panic/competing-suspension-drivers.hd;cf:runtime/panic/reentrant-suspension-poll.hd;cf:runtime/panic/reentrant-cancel.hd	
C085	MVP_PLAN:116-120;README:201-203	Uniform Suspend[T] wrapper preserves identity through fields, optionals, generics, aliases	tf:compiler-types/identity/references/gc-identity.hd;tf:suspension/34-stored-suspension-crosses-function-boundary.hd	
