source	result	detail
05-expressions.md#evaluation-order	added	runtime/valid/evaluation-order-elements-and-indexing.hd: "subexpressions are evaluated from left to right and exactly once ... tuple and collection elements ... indexing expressions" (callee/operand/argument order left to g02)
05-expressions.md#propagation	added	runtime/valid/propagation-in-closure-targets-closure.hd: "nil immediately returns nil from the nearest function"; "enclosing named function or closure"
05-expressions.md#propagation	added	runtime/valid/result-propagation-evaluates-once.hd: "Err(error) immediately returns a compatible Err"; "The operand is evaluated once."
05-expressions.md#expression-categories	added	runtime/valid/abrupt-assignment-stores-nothing.hd: "If any step completes abruptly, no store occurs."
05-expressions.md#binding-expressions	added	runtime/valid/binding-expression-tuple-value.hd: "The value of the whole binding expression is the original tuple value."
07-functions.md#methods-and-receivers	added	runtime/valid/method-receiver-before-arguments.hd: "Method-call syntax evaluates the receiver first and then ordinary arguments."
07-functions.md#methods-and-receivers	added	runtime/valid/associated-function-qualified-call.hd: "Receiverless members are associated functions and are called with qualified Type::function(...)"
07-functions.md#methods-and-receivers	added	typing/invalid/self-receiver-is-readonly.hd: "self is readonly access to the receiver" + 04 "A readonly T reference cannot reassign its fields."
07-functions.md#program-entry-functions	added	runtime/valid/private-main-is-ordinary-function.hd (anchored 10#executable-entry-point): "A top-level main that is not public is an ordinary function and is not an entry point." Runtime twin of typing/valid/nonpublic-main-ordinary.hd, which only checks acceptance; this one checks that test does not run it.
07-functions.md#multiple-inline-closures	added	runtime/valid/multiple-inline-closures.hd: "Multiple multiline closures may be passed by parenthesizing each closure expression"
07-functions.md#function-types-and-values	added	runtime/valid/generic-function-value-instantiation.hd: "must instantiate every generic parameter, either from an expected monomorphic function type or with a complete explicit type-argument list"
07-functions.md#function-types-and-values	added	typing/invalid/function-value-no-default-arguments.hd: "does not inherit declaration defaults"
07-functions.md#function-types-and-values	added	typing/invalid/function-type-invariant-result.hd: "Function types are invariant ... numeric ... coercions do not create a different function value type"
07-functions.md#function-types-and-values	added	typing/invalid/function-type-invariant-view-result.hd: same sentence, reference-view coercion (mut User result vs User)
07-functions.md#trailing-callback-blocks	added	runtime/valid/trailing-block-return-targets-callback.hd: "return inside the block returns from the generated callback"
03-names-and-scopes.md#loops	added	runtime/valid/loop-iteration-binding-capture.hd: "a closure that escapes an iteration captures that iteration's binding"
03-names-and-scopes.md#loops	added	typing/invalid/for-binding-not-visible-in-else.hd: "It is not visible in the loop's else suite"
03-names-and-scopes.md#matches	added	runtime/valid/match-arm-binding-reuse.hd: "Pattern bindings in different arms may reuse the same spelling."
03-names-and-scopes.md#matches	added	typing/invalid/duplicate-binding-in-one-pattern.hd: "Duplicate bindings within one pattern are a compile-time error."
03-names-and-scopes.md#comprehensions	added	typing/invalid/comprehension-binding-does-not-leak.hd: "A comprehension introduces one scope that does not leak"
03-names-and-scopes.md#member-resolution	added	runtime/valid/direct-member-hides-promoted.hd: "A directly declared member hides promoted members of the same name."
03-names-and-scopes.md#use-declarations	added	runtime/valid/use-declaration-position-independent.hd: "Their textual position does not limit their visibility"
10-modules.md#use-forms	added	parse/invalid/wildcard-use.hd: "Wildcard uses are not supported."
10-modules.md#use-forms	added	parse/invalid/pub-path-only-use.hd: "Only the grouped form accepts a pub prefix."
10-modules.md#name-resolution-across-packages	added	parse/invalid/pub-top-level-binding.hd: "Top-level bindings cannot be public."
09-traits.md#default-method-conflicts	added	runtime/valid/default-method-conflict-inherent-resolves.hd: "The type may define an inherent method ... or the caller may use Trait::method(value, ...)"
09-traits.md#any	added	typing/invalid/any-exposes-no-methods.hd: "Any erases the concrete type and exposes no type-specific methods"
09-traits.md#any	added	runtime/valid/any-accepts-non-optional-values.hd: "Every non-optional value type implements it automatically."
03-names-and-scopes.md#conditional-suites	skipped	already covered by typing/invalid/branch-binding-does-not-leak.hd
07-functions.md#declarations	skipped	local named functions already covered by runtime/valid/named-local-functions.hd; calling a local fn before its declaration has no code settled by the spec (unknown-name vs binding-not-yet-visible)
03-names-and-scopes.md#use-declarations	skipped	used-name collision with a declaration: code (duplicate-binding?) and marker line (use or declaration) are not settled by the spec
05-expressions.md#propagation	skipped	? in a test block or a non-optional function: the spec forbids it but names no code
10-modules.md#use-roots	skipped	relative use above the package root depends on the fixture's module path, which fixtures must not depend on
10-modules.md#path-inferred-modules	skipped	needs multiple files; single-file fixtures cannot express it
10-modules.md#executable-entry-point	skipped	pub main returning Err: exit status is not observable through test blocks; F-308 private main with a requirement is the parent's source (typing/valid/nonpublic-main-ordinary.hd)
09-traits.md#default-method-conflicts	skipped	ambiguity reject already covered by typing/invalid/ambiguous-method-two-traits.hd
