# commit bd985d7; command: node --experimental-strip-types audit/scripts/coverage/runner.ts fixtures audit/probes/claims audit/evidence/02-claims/probes.tsv; date 2026-09-25T21:07:57.718Z
path	name	verdict	codes	commands	failure	first_output
audit/probes/claims/c2-plain-closure-assigns-let.hd	a plain fn closure must not assign captured let storage (07-functions.md#captures)	FAIL	unknown-name	hd check audit/probes/claims/c2-plain-closure-assigns-let.hd	missing mutable-capture-requires-mut-fn at line 5	/Users/hd/code/test/hd-lang/audit/probes/claims/c2-plain-closure-assigns-let.hd:5:9: unknown-name: unknown binding 'count'
audit/probes/claims/c2-plain-closure-mutates-capture.hd	a plain fn closure must not mutate a captured mutable list (07-functions.md#captures)	FAIL		hd check audit/probes/claims/c2-plain-closure-mutates-capture.hd	expected rejection	/Users/hd/code/test/hd-lang/audit/probes/claims/c2-plain-closure-mutates-capture.hd: ok
audit/probes/claims/c2-plain-closure-mutation-runs.hd	observation only; shows the mutation through a plain closure executes when accepted	PASS		hd run --entry run audit/probes/claims/c2-plain-closure-mutation-runs.hd		3
audit/probes/claims/controls/k01-named-arg-order-wrong.hd	named arguments evaluate in source order, not parameter order	FAIL	panic:assertion-failed	hd test audit/probes/claims/controls/k01-named-arg-order-wrong.hd	expected acceptance	assertion-failed: runtime panic
audit/probes/claims/controls/k13-copy-update-wrong.hd	copy-update evaluates the source once, then replacements in source order, without defaults	FAIL	panic:assertion-failed	hd test audit/probes/claims/controls/k13-copy-update-wrong.hd	expected acceptance	assertion-failed: runtime panic
audit/probes/claims/controls/k73-defer-wrong.hd	defer is LIFO and runs after the return value is evaluated, on break and continue	FAIL	panic:assertion-failed	hd test audit/probes/claims/controls/k73-defer-wrong.hd	expected acceptance	assertion-failed: runtime panic
audit/probes/claims/host/token-and-scalars.hd	host token and bool/char scalars (runtime driven by host-token.ts)	PASS		hd check audit/probes/claims/host/token-and-scalars.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/host/token-and-scalars.hd: ok
audit/probes/claims/p01-named-arg-order.hd	named arguments evaluate in source order, not parameter order	PASS		hd test audit/probes/claims/p01-named-arg-order.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p01-named-arg-order.hd: 2 passed
audit/probes/claims/p02-named-arg-order-method-dynamic.hd	named arguments on dynamic trait dispatch evaluate in source order	PASS		hd test audit/probes/claims/p02-named-arg-order-method-dynamic.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p02-named-arg-order-method-dynamic.hd: 2 passed
audit/probes/claims/p03-named-arg-order-suspending.hd	named arguments to a suspending call evaluate in source order	PASS		hd test audit/probes/claims/p03-named-arg-order-suspending.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p03-named-arg-order-suspending.hd: 1 passed
audit/probes/claims/p04-enum-payload-named-order.hd	named enum payload constructor arguments evaluate in source order	PASS		hd test audit/probes/claims/p04-enum-payload-named-order.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p04-enum-payload-named-order.hd: 2 passed
audit/probes/claims/p05-defaults-earlier-param-per-call.hd	defaults may read earlier parameters and are evaluated per call after explicit arguments	PASS		hd test audit/probes/claims/p05-defaults-earlier-param-per-call.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p05-defaults-earlier-param-per-call.hd: 1 passed
audit/probes/claims/p06-default-later-param-rejected.hd	a default may not reference a later parameter	PASS	impure-parameter-default	hd check audit/probes/claims/p06-default-later-param-rejected.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p06-default-later-param-rejected.hd:2:21: impure-parameter-default: default for 'bad.first' is not compile-time pure
audit/probes/claims/p07-default-impure-rejected.hd	an impure default is rejected	PASS	impure-parameter-default	hd check audit/probes/claims/p07-default-impure-rejected.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p07-default-impure-rejected.hd:8:21: impure-parameter-default: default for 'bad.value' is not compile-time pure
audit/probes/claims/p08-default-generic-and-suspending.hd	defaults work for generic and suspending functions	PASS		hd test audit/probes/claims/p08-default-generic-and-suspending.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p08-default-generic-and-suspending.hd: 1 passed
audit/probes/claims/p09-varargs-forms.hd	varargs accept positional elements, one final positional spread, or a named list	PASS		hd test audit/probes/claims/p09-varargs-forms.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p09-varargs-forms.hd: 1 passed
audit/probes/claims/p10-vararg-nonfinal-spread.hd	a positional spread must be final	PASS	nonfinal-positional-spread	hd check audit/probes/claims/p10-vararg-nonfinal-spread.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p10-vararg-nonfinal-spread.hd:6:15: nonfinal-positional-spread: a positional spread must be the final positional argument
audit/probes/claims/p11-vararg-function-value.hd	first-class vararg function values keep the list ABI	PASS		hd test audit/probes/claims/p11-vararg-function-value.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p11-vararg-function-value.hd: 1 passed
audit/probes/claims/p12-data-init-order.hd	data initializers evaluate in source order, defaults after explicit fields	PASS		hd test audit/probes/claims/p12-data-init-order.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p12-data-init-order.hd: 2 passed
audit/probes/claims/p13-copy-update-order.hd	copy-update evaluates the source once, then replacements in source order, without defaults	PASS		hd test audit/probes/claims/p13-copy-update-order.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p13-copy-update-order.hd: 2 passed
audit/probes/claims/p14-copy-update-fresh-struct.hd	copy-update constructs a fresh struct	PASS		hd test audit/probes/claims/p14-copy-update-fresh-struct.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p14-copy-update-fresh-struct.hd: 1 passed
audit/probes/claims/p15-assert-arg-order.hd	assert evaluates its arguments in source order	PASS		hd test audit/probes/claims/p15-assert-arg-order.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p15-assert-arg-order.hd: 2 passed
audit/probes/claims/p16-interpolation-order.hd	interpolation evaluates segments left to right using Display	PASS		hd test audit/probes/claims/p16-interpolation-order.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p16-interpolation-order.hd: 2 passed
audit/probes/claims/p17-float-display.hd	f64 display uses shortest round-trip formatting	PASS		hd test audit/probes/claims/p17-float-display.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p17-float-display.hd: 1 passed
audit/probes/claims/p18-split.hd	split keeps empty pieces and splits an empty separator at scalar boundaries	PASS		hd test audit/probes/claims/p18-split.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p18-split.hd: 1 passed
audit/probes/claims/p19-string-len-order.hd	string len counts scalars and ordering is UTF-8 byte order	PASS		hd test audit/probes/claims/p19-string-len-order.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p19-string-len-order.hd: 1 passed
audit/probes/claims/p20-trim-lower.hd	trim and lower are Unicode-aware	PASS		hd test audit/probes/claims/p20-trim-lower.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p20-trim-lower.hd: 1 passed
audit/probes/claims/p21-overflow-panics.hd	i32 addition overflow panics with integer-overflow	PASS	panic:integer-overflow	hd check audit/probes/claims/p21-overflow-panics.hd && hd run audit/probes/claims/p21-overflow-panics.hd		integer-overflow: runtime panic
audit/probes/claims/p22-min-div-neg-one.hd	i32 minimum divided by -1 overflows	PASS	panic:integer-overflow	hd check audit/probes/claims/p22-min-div-neg-one.hd && hd run audit/probes/claims/p22-min-div-neg-one.hd		integer-overflow: runtime panic
audit/probes/claims/p23-div-zero.hd	integer division by zero panics	PASS	panic:integer-division-by-zero	hd check audit/probes/claims/p23-div-zero.hd && hd run audit/probes/claims/p23-div-zero.hd		integer-division-by-zero: runtime panic
audit/probes/claims/p24-power.hd	i32 power is right associative and checked; f64 power is IEEE	PASS		hd test audit/probes/claims/p24-power.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p24-power.hd: 1 passed
audit/probes/claims/p25-power-overflow.hd	i32 power overflow panics	PASS	panic:integer-overflow	hd check audit/probes/claims/p25-power-overflow.hd && hd run audit/probes/claims/p25-power-overflow.hd		integer-overflow: runtime panic
audit/probes/claims/p26-shift.hd	invalid shift amount panics	PASS	panic:invalid-shift	hd check audit/probes/claims/p26-shift.hd && hd run audit/probes/claims/p26-shift.hd		invalid-shift: runtime panic
audit/probes/claims/p27-list-bounds.hd	list indexing out of bounds panics	PASS	panic:index-out-of-bounds	hd check audit/probes/claims/p27-list-bounds.hd && hd run audit/probes/claims/p27-list-bounds.hd		index-out-of-bounds: runtime panic
audit/probes/claims/p28-iter-list-growth.hd	list growth during iteration invalidates the cursor	PASS	panic:iterator-invalidated	hd check audit/probes/claims/p28-iter-list-growth.hd && hd run audit/probes/claims/p28-iter-list-growth.hd		iterator-invalidated: runtime panic
audit/probes/claims/p29-iter-map-replacement-ok.hd	map value replacement during iteration does not invalidate; replacement is visible	PASS		hd test audit/probes/claims/p29-iter-map-replacement-ok.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p29-iter-map-replacement-ok.hd: 1 passed
audit/probes/claims/p30-iter-map-remove.hd	map removal during iteration invalidates the cursor	PASS	panic:iterator-invalidated	hd check audit/probes/claims/p30-iter-map-remove.hd && hd run audit/probes/claims/p30-iter-map-remove.hd		iterator-invalidated: runtime panic
audit/probes/claims/p31-iter-exhausted.hd	next yields nil after the end and stays exhausted; partly consumed cursor continues in for	PASS		hd test audit/probes/claims/p31-iter-exhausted.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p31-iter-exhausted.hd: 1 passed
