id	suite	case	expected	w3_result	verdict
C00	conformance	typing/c00-control-reject.hd	pass	pass	ok
C01	conformance	typing/c01-wrong-line.hd	fail	fail	caught
C02	conformance	typing/c02-wrong-code.hd	fail	fail	caught
C03	conformance	typing/c03-extra-error.hd	fail	fail	caught
C04	conformance	typing/c04-accept-with-warning.hd	pass	pass	ok
C05a	conformance	runtime/c05a-trap-runtime-error.hd	fail	fail	caught
C05b	conformance	runtime/c05b-trap-vs-category.hd	fail	fail	caught
C06	conformance	runtime/c06-decoy-printed-code.hd	fail	fail	caught
C07	conformance	runtime/c07-panic-wrong-line.hd	fail	pass	passes by decision D6 (panic line not judged)
C08	conformance	runtime/c08-failing-test-block.hd	fail	fail	caught
C09	conformance	runtime/c09-failing-main.hd	fail	fail	caught
C10	conformance	runtime/c10-scenario-skips-tests.hd	fail	pass	passes by README Runtime Execution (a scenario replaces main and test blocks)
C10b	conformance	runtime/c10b-control-scenario.hd	pass	pass	ok
C11	conformance	typing/c11-type-error-in-accept.hd	fail	fail	caught
C12	conformance	parse/c12-parse-only.hd	pass	pass	ok
C13	conformance	runtime/c13-runtime-accept-panics.hd	fail	fail	caught
C14a	conformance	runtime/c14a-crash-in-runtime-accept.hd	fail	fail	caught
C14b	conformance	runtime/c14b-crash-vs-stack-exhausted.hd	fail	fail	caught
C15	conformance	typing/c15-diagnostic-satisfied-by-warning.hd	fail	fail	caught
C17	conformance	typing/c17-marker-typo.hd	fail	fail	caught
C18	conformance	nested/c18-substring-row.hd	fail	fail	caught
W04A	fixtures-as-conformance	runtime/w04a-runtime-error-host-crash.hd	fail	fail	caught
W04B	fixtures-as-conformance	runtime/w04b-category-host-crash.hd	fail	fail	caught
W05A	fixtures-as-conformance	runtime/w05a-runtime-error-success.hd	fail	fail	caught
W05B	fixtures-as-conformance	runtime/w05b-category-success.hd	fail	fail	caught
W06	fixtures-as-conformance	runtime/w06-panic-wrong-code.hd	fail	fail	caught
W07	fixtures-as-conformance	runtime/w07-panic-decoy-print.hd	fail	fail	caught
W08A	fixtures-as-conformance	runtime/w08a-runtime-error-compiler-crash.hd	fail	fail	caught
W08B	fixtures-as-conformance	runtime/w08b-category-compiler-crash.hd	fail	fail	caught
W09	fixtures-as-conformance	runtime/w09-panic-wrong-line.hd	pass	pass	passes by decision D6 (panic line not judged)
W10	fixtures-as-conformance	runtime/w10-control-panic.hd	pass	pass	ok
W00	fixtures-as-conformance	typing/w00-control-reject.hd	pass	pass	ok
W01	fixtures-as-conformance	typing/w01-extra-error.hd	fail	fail	caught
W02	fixtures-as-conformance	typing/w02-diagnostic-satisfied-by-warning.hd	fail	fail	caught
W03	fixtures-as-conformance	typing/w03-diagnostic-satisfied-by-warning-other-function.hd	fail	fail	caught
