# commit bd985d7; command: node --experimental-strip-types audit/scripts/coverage/ledger.ts; date 2026-09-25T21:07:57.954Z
claim_id	source	claim	evidence	command	result	note
C001	MVP_PLAN:6-7	S0 gate checks every supported manifest parser case and a checked-in structural AST snapshot	audit/evidence/02-coverage/s0-ast-snapshot.tsv ; audit/evidence/02-coverage/selected.tsv (31 parse)	node --experimental-strip-types audit/scripts/coverage/ast-snapshot.ts (x2) + cmp ; node --experimental-strip-types audit/scripts/coverage/runner.ts conformance test/portable/cases.tsv	verified	
C002	MVP_PLAN:7-9;README:42-43	Doc comments retain joined text on AST declarations and members; unattached comments get the specified diagnostic	test/fixtures/frontend/27-documentation-comments-attach-to-ast-declarations-and-members.hd ; spec/conformance/parse/invalid/doc-comment-without-target.hd ; audit/probes/claims/p86-orphan-doc.hd	hd check test/fixtures/frontend/27-documentation-comments-attach-to-ast-declarations-and-members.hd ; hd parse spec/conformance/parse/invalid/doc-comment-without-target.hd ; hd check audit/probes/claims/p86-orphan-doc.hd	verified	AST text retention is checked only by a TS test (UNVERIFIED by CLI)
C003	MVP_PLAN:9-10	Parser preserves named-argument, vararg, positional-spread markers and enforces ordering	spec/conformance/parse/invalid/positional-after-named.hd ; spec/conformance/typing/invalid/nonfinal-spread.hd ; audit/probes/claims/p10-vararg-nonfinal-spread.hd	hd parse spec/conformance/parse/invalid/positional-after-named.hd ; hd check spec/conformance/typing/invalid/nonfinal-spread.hd ; hd check audit/probes/claims/p10-vararg-nonfinal-spread.hd	verified	
C004	MVP_PLAN:10-13;README:44-46	Named arguments preserve source evaluation order for static functions	audit/probes/claims/p01-named-arg-order.hd	hd test audit/probes/claims/p01-named-arg-order.hd	verified	fixture 13 cannot observe order (constant values); probe uses a log
C005	MVP_PLAN:11-12	Named arguments preserve source order through dynamic trait dispatch	audit/probes/claims/p02-named-arg-order-method-dynamic.hd ; test/fixtures/compiler/18-named-arguments-work-through-static-and-dynamic-trait-dispatch.hd	hd test audit/probes/claims/p02-named-arg-order-method-dynamic.hd ; hd run --entry main test/fixtures/compiler/18-named-arguments-work-through-static-and-dynamic-trait-dispatch.hd	verified	
C006	MVP_PLAN:11	Named arguments preserve source order for suspending calls	audit/probes/claims/p03-named-arg-order-suspending.hd	hd test audit/probes/claims/p03-named-arg-order-suspending.hd	verified	
C007	MVP_PLAN:12	Named arguments work for enum payload constructors with source order	audit/probes/claims/p04-enum-payload-named-order.hd ; test/fixtures/compiler/14-named-enum-payloads-preserve-source-evaluation-order.hd	hd test audit/probes/claims/p04-enum-payload-named-order.hd ; hd run --entry main test/fixtures/compiler/14-named-enum-payloads-preserve-source-evaluation-order.hd	verified	
C008	MVP_PLAN:13-15;README:47-49	Pure parameter defaults run after explicit arguments in declaration order and may read earlier parameters	audit/probes/claims/p05-defaults-earlier-param-per-call.hd ; test/fixtures/compiler/10-function-parameter-defaults-evaluate-after-explicit-arguments.hd	hd test audit/probes/claims/p05-defaults-earlier-param-per-call.hd ; hd run --entry main test/fixtures/compiler/10-function-parameter-defaults-evaluate-after-explicit-arguments.hd	verified	
C009	MVP_PLAN:13-15	Parameter defaults work for generic and suspending functions	audit/probes/claims/p08-default-generic-and-suspending.hd	hd test audit/probes/claims/p08-default-generic-and-suspending.hd	verified	
C010	MVP_PLAN:13	Parameter defaults must be pure	audit/probes/claims/p07-default-impure-rejected.hd ; test/fixtures/compiler/11-function-parameter-defaults-enforce-order-type-and-purity-impure-parameter-default.hd	hd check audit/probes/claims/p07-default-impure-rejected.hd ; hd check test/fixtures/compiler/11-function-parameter-defaults-enforce-order-type-and-purity-impure-parameter-default.hd	verified	code impure-parameter-default is not in spec/README.md inventory
