# commit bd985d7; command: node --experimental-strip-types audit/scripts/w6/oracle-conformance.ts; date: 2026-09-26
body	case	marker	marker_count	selection	original_stage:exit	marker_observed	extra_errors	extra_list	marker_on_structural_line	neutralize	neutral_stage:exit	verdict
spec/conformance	parse/invalid/mutable-field-modifier.hd	diagnostic:mutable-field-modifier@2	1	selected	parse:1	yes	no		no	pass	parse:1	isolated-other-errors:expected-token
spec/conformance	parse/invalid/mutable-embedded-field.hd	diagnostic:mutable-embedded-field@5	1	selected	parse:1	yes	no		no	pass	parse:1	isolated-other-errors:expected-token
spec/conformance	runtime/panic/map-iterator-invalidated.hd	panic:iterator-invalidated@4	1	selected	test:1	yes	n/a		no	delete	test:0	isolated-accepts
spec/conformance	runtime/panic/for-loop-iterator-invalidated.hd	panic:iterator-invalidated@3	1	selected	test:1	yes	n/a		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	runtime/panic/removed-map-iterator-invalidated.hd	panic:iterator-invalidated@4	1	selected	test:1	yes	n/a		no	delete	test:0	isolated-accepts
spec/conformance	runtime/panic/explicit-panic.hd	panic:explicit-panic@1	1	selected	test:1	yes	n/a		no	delete	test:1	isolated-other-errors:unlocated
spec/conformance	runtime/panic/integer-add-overflow.hd	panic:integer-overflow@1	1	selected	test:1	yes	n/a		no	delete	test:1	isolated-other-errors:unlocated
spec/conformance	runtime/panic/invalid-shift.hd	panic:invalid-shift@1	1	selected	test:1	yes	n/a		no	delete	test:1	isolated-other-errors:unlocated
spec/conformance	runtime/panic/list-index-out-of-bounds.hd	panic:index-out-of-bounds@2	1	selected	test:1	yes	n/a		no	delete	test:0	isolated-accepts
spec/conformance	runtime/panic/integer-negation-overflow.hd	panic:integer-overflow@2	1	selected	test:1	yes	n/a		no	delete	test:0	isolated-accepts
spec/conformance	runtime/panic/list-set-out-of-bounds.hd	panic:index-out-of-bounds@2	1	selected	test:1	yes	n/a		no	delete	test:0	isolated-accepts
spec/conformance	typing/invalid/duplicate-generic-embedded-name.hd	diagnostic:duplicate-embedded-field@6	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	parse/invalid/old-struct-declaration.hd	diagnostic:old-struct-declaration@2	1	selected	parse:1	yes	no		no	delete	parse:0	isolated-accepts
spec/conformance	parse/invalid/declaration-without-let.hd	diagnostic:missing-let@2	1	selected	parse:1	yes	no		no	pass	parse:0	isolated-accepts
spec/conformance	parse/invalid/trailing-block-in-brackets.hd	diagnostic:trailing-block-position@3	1	selected	parse:1	yes	no		yes	pass	parse:1	isolated-other-errors:mismatched-delimiter
spec/conformance	parse/invalid/reserved-name-collision.hd	diagnostic:reserved-name@1	1	selected	parse:1	yes	no		yes	delete	parse:0	isolated-accepts
spec/conformance	parse/invalid/direct-variant-use.hd	diagnostic:direct-variant-use@2	1	selected	parse:1	yes	no		no	delete	parse:0	isolated-accepts
spec/conformance	parse/invalid/old-import-declaration.hd	diagnostic:old-import-declaration@2	1	selected	parse:1	yes	no		no	delete	parse:0	isolated-accepts
spec/conformance	parse/invalid/old-export-declaration.hd	diagnostic:old-export-declaration@2	1	selected	parse:1	yes	no		no	delete	parse:0	isolated-accepts
spec/conformance	parse/invalid/pub-trait-method.hd	diagnostic:trait-method-visibility@2	1	selected	parse:1	yes	no		yes	pass	parse:1	isolated-other-errors:doc-comment-without-target
spec/conformance	parse/invalid/chained-comparison.hd	diagnostic:comparison-chaining@2	1	selected	parse:1	yes	no		no	delete	parse:0	isolated-accepts
spec/conformance	parse/invalid/invalid-escape.hd	diagnostic:invalid-escape@2	1	selected	parse:1	yes	no		no	delete	parse:0	isolated-accepts
spec/conformance	parse/invalid/named-pattern-before-positional.hd	diagnostic:pattern-order@6	1	selected	parse:1	yes	no		no	pass	parse:1	isolated-other-errors:expected-token
spec/conformance	typing/invalid/bare-variant-pattern.hd	diagnostic:bare-variant-pattern@6	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:expected-token
spec/conformance	parse/invalid/mid-file-bom.hd	diagnostic:unexpected-bom@2	1	selected	parse:1	yes	no		no	delete	parse:0	isolated-accepts
spec/conformance	parse/invalid/semicolon.hd	diagnostic:reserved-semicolon@2	1	selected	parse:1	yes	no		no	delete	parse:0	isolated-accepts
spec/conformance	parse/invalid/tab-indentation.hd	diagnostic:tab-whitespace@2	1	selected	parse:1	yes	no		no	pass	parse:1	code-persists
spec/conformance	parse/invalid/positional-after-named.hd	diagnostic:argument-order@2	1	selected	parse:1	yes	no		no	delete	parse:0	isolated-accepts
spec/conformance	typing/invalid/nonfinal-spread.hd	diagnostic:nonfinal-positional-spread@5	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/missing-return-value.hd	diagnostic:missing-return-value@2	1	selected	check:1	yes	no		yes	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/readonly-list-element-replacement.hd	diagnostic:readonly-root@5	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/implicit-data-equality.hd	diagnostic:missing-partial-eq@5	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:missing-return-value
spec/conformance	typing/invalid/primitive-identity.hd	diagnostic:identity-requires-references@2	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:missing-return-value
spec/conformance	typing/invalid/implicit-data-ordering.hd	diagnostic:missing-partial-ord@5	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:missing-return-value
spec/conformance	typing/invalid/impure-shared-enum-default.hd	diagnostic:impure-default@7	1	unselected	check:1	no	yes	impure-enum-default@7	yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/shared-enum-default-order.hd	diagnostic:enum-default-order@1	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/recursive-closure-inferred-result.hd	diagnostic:recursive-closure-needs-result-type@2	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/readonly-map-entry-replacement.hd	diagnostic:readonly-root@5	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/readonly-mut-field-reassignment.hd	diagnostic:readonly-root@8	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/readonly-mut-field-mutation.hd	diagnostic:readonly-root@8	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/readonly-mut-field-method.hd	diagnostic:mutable-receiver-required@12	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/forward-module-binding.hd	diagnostic:binding-not-yet-visible@2	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:missing-return-value
spec/conformance	typing/invalid/readonly-generic-field-init.hd	diagnostic:mutable-upgrade@8	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/readonly-spread-mutable-field.hd	diagnostic:mutable-upgrade@8	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:missing-return-value
spec/conformance	typing/invalid/copy-update-readonly-child.hd	diagnostic:readonly-edge@9	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
