# commit bd985d7, 2026-09-25T20:46:02Z, node v24.19.0, command: node --experimental-strip-types audit/scripts/harness/run-gap-probes.ts
id	file	mechanism	spec	command	expected	exit	observed	verdict	coverage
G01a	g01a-readonly-closure-capture.hd	readonly write inside closure	04-type-system.md#mutable-paths	hd check	reject readonly-root@7	1	audit/probes/gaps/g01a-readonly-closure-capture.hd:7:9: readonly-root: field 'name' cannot be assigned through readonly type 'User'	PASS	typing/invalid/readonly-mutation,readonly-mut-field-*,readonly-list-element-replacement,readonly-map-entry-replacement,missing-mutable-edge (selected)
G01b	g01b-readonly-loop-element.hd	readonly list element via for	04-type-system.md#mutable-paths	hd check	reject readonly-root@7	1	audit/probes/gaps/g01b-readonly-loop-element.hd:7:9: readonly-root: field 'name' cannot be assigned through readonly type 'User'	PASS	typing/invalid/readonly-mutation,readonly-mut-field-*,readonly-list-element-replacement,readonly-map-entry-replacement,missing-mutable-edge (selected)
G01c	g01c-control-mut-loop-element.hd	control: list[mut User] element write accepted	04-type-system.md#mutable-paths	hd check	accept	0	audit/probes/gaps/g01c-control-mut-loop-element.hd: ok	PASS	typing/invalid/readonly-mutation,readonly-mut-field-*,readonly-list-element-replacement,readonly-map-entry-replacement,missing-mutable-edge (selected)
G02	g02-argument-evaluation-order.hd	argument and operand evaluation order	05-expressions.md#evaluation-order; 05-expressions.md#calls	hd test	pass	0	audit/probes/gaps/g02-argument-evaluation-order.hd: 4 passed	PASS	runtime/valid/assert (named args, selected); fixtures compiler/13-*,14-*,30-* (named args, fields); callee-first: none found
G03a	g03a-defer-on-cancellation.hd	defer runs LIFO innermost-first on cancellation	11-requirements-and-suspension.md#cancellation	hd test --scenario cancellation-cleanup --pending-function wait	pass	0	audit/probes/gaps/g03a-defer-on-cancellation.hd: 1 passed	PASS	runtime/valid/cancellation-runs-defer,cancellation-unwinds-nested-frames,cancellation-unwinds-suspending-closure (selected; single defer each)
G03b	g03b-control-no-defer.hd	control: no defer, scenario must fail	11-requirements-and-suspension.md#cancellation	hd test --scenario cancellation-cleanup --pending-function wait	fail	1	CRASH Error: cancellation-cleanup scenario did not run cleanup	PASS	runtime/valid/cancellation-runs-defer,cancellation-unwinds-nested-frames,cancellation-unwinds-suspending-closure (selected; single defer each)
G04a	g04a-second-drive-via-helper.hd	second drive of completed suspension	11-requirements-and-suspension.md#suspendt-protocol	hd test	panic suspension-invalid-state	1	suspension-invalid-state: runtime panic	PASS	runtime/panic/second-suspension-drive (selected); fixtures suspension/06-*seconddrive,08-cancelled-*
G04b	g04b-drive-after-cancel.hd	drive after cancel	11-requirements-and-suspension.md#suspendt-protocol	hd test	panic suspension-invalid-state	1	suspension-invalid-state: runtime panic	PASS	runtime/panic/second-suspension-drive (selected); fixtures suspension/06-*seconddrive,08-cancelled-*
G04c	g04c-control-cancel-after-complete.hd	control: cancel after completion is a no-op	11-requirements-and-suspension.md#suspendt-protocol	hd test	pass	0	audit/probes/gaps/g04c-control-cancel-after-complete.hd: 1 passed	PASS	runtime/panic/second-suspension-drive (selected); fixtures suspension/06-*seconddrive,08-cancelled-*
G05a	g05a-row-subtraction.hd	row subtraction removes a requirement	11-requirements-and-suspension.md#requirement-rows	hd test	pass	0	audit/probes/gaps/g05a-row-subtraction.hd: 1 passed	PASS	typing/valid/row-subtraction-entailment,typing/invalid/row-subtraction-unsound,typing/warnings/requirement-subtract-absent (selected); fixtures requirements/row-subtraction/*
G05b	g05b-control-no-subtraction.hd	control: without subtraction caller needs Logger	11-requirements-and-suspension.md#requirement-rows	hd check	reject missing-requirement@18	1	audit/probes/gaps/g05b-control-no-subtraction.hd:18:5: missing-requirement: call to 'quiet' requires Logger	PASS	typing/valid/row-subtraction-entailment,typing/invalid/row-subtraction-unsound,typing/warnings/requirement-subtract-absent (selected); fixtures requirements/row-subtraction/*
G05c	g05c-subtraction-keeps-other-keys.hd	row subtraction keeps other keys	11-requirements-and-suspension.md#requirement-rows	hd check	reject missing-requirement@19	1	audit/probes/gaps/g05c-subtraction-keeps-other-keys.hd:19:5: missing-requirement: call to 'quiet' requires Clock	PASS	typing/valid/row-subtraction-entailment,typing/invalid/row-subtraction-unsound,typing/warnings/requirement-subtract-absent (selected); fixtures requirements/row-subtraction/*
G06a	g06a-nan-ordering.hd	NaN makes all four relational ops false	05-expressions.md#unary-and-binary-operators	hd test	pass	1	CRASH WasmValidationError: Binaryen could not parse generated WAT: [object Object]	FAIL	none: no fixture orders f64 at runtime; float-display covers NaN display only
G06b	g06b-control-float-ordering.hd	control: 1.0 < 2.0	05-expressions.md#unary-and-binary-operators	hd test	pass	1	CRASH WasmValidationError: Binaryen could not parse generated WAT: [object Object]	FAIL	none: no fixture orders f64 at runtime; float-display covers NaN display only
G06c	g06c-nan-tuple-ordering.hd	NaN inside tuple ordering	05-expressions.md#unary-and-binary-operators	hd test	pass	1	CRASH WasmValidationError: Binaryen could not parse generated WAT: [object Object]	FAIL	none: no fixture orders f64 at runtime; float-display covers NaN display only
G06d	g06d-control-float-equality.hd	control: NaN equality	05-expressions.md#unary-and-binary-operators	hd test	pass	0	audit/probes/gaps/g06d-control-float-equality.hd: 1 passed	PASS	none for NaN equality at runtime
G07a	g07a-iterator-invalidated-via-helper.hd	iterator version check through alias	06-control-flow.md#for-loops	hd test	panic iterator-invalidated	1	iterator-invalidated: runtime panic	PASS	runtime/panic/invalidated-iterator,for-loop-iterator-invalidated,map-iterator-invalidated,removed-map-iterator-invalidated (selected)
G07b	g07b-control-replacement-keeps-iterator.hd	control: replacement does not invalidate	06-control-flow.md#for-loops	hd test	pass	0	audit/probes/gaps/g07b-control-replacement-keeps-iterator.hd: 1 passed	PASS	runtime/valid/list-iterator (selected, check content)
G07c	g07c-map-insert-during-for.hd	map insert during for invalidates	06-control-flow.md#for-loops	hd test	panic iterator-invalidated	1	iterator-invalidated: runtime panic	PASS	runtime/panic/invalidated-iterator,for-loop-iterator-invalidated,map-iterator-invalidated,removed-map-iterator-invalidated (selected)
