# commit bd985d7 base 4cc1312; command: awk -F'	' -f audit/evidence/01-fixtures/join.awk impl-lines.tsv markers-raw.tsv; date 2026-09-25
path	status	commits	phase	expectation	section	old_header_code	marker_code	marker_line	impl_lines	selected	code_check	line_check	body_changed	verdict	note
parse/invalid/chained-comparison.hd	M	78af8aa	parse	reject:comparison-chaining	02-grammar.md#expressions	error:comparison-chaining	comparison-chaining	2	2	true	code-consistent	matches-impl-span	no	no-weakening	
parse/invalid/declaration-without-let.hd	M	78af8aa	parse	reject:missing-let	02-grammar.md#statements	error:missing-let	missing-let	2	2	true	code-consistent	matches-impl-span	no	no-weakening	
parse/invalid/direct-variant-use.hd	M	bd985d7	parse	reject:direct-variant-use	10-modules.md#use-forms	error:direct-variant-use	direct-variant-use	2	2	true	code-consistent	matches-impl-span	no	no-weakening	
parse/invalid/doc-comment-without-target.hd	M	78af8aa	parse	reject:doc-comment-without-target	01-lexical-structure.md#comments	error:doc-comment-without-target	doc-comment-without-target	2	2	true	code-consistent	matches-impl-span	no	no-weakening	
parse/invalid/invalid-escape.hd	M	78af8aa	parse	reject:invalid-escape	01-lexical-structure.md#string-and-character-literals	error:invalid-escape	invalid-escape	2	2	true	code-consistent	matches-impl-span	no	no-weakening	
parse/invalid/local-decorator.hd	M	bd985d7	parse	reject:decorator-not-top-level	14-annotations.md#prefix-decorators	error:decorator-not-top-level	decorator-not-top-level	2	2	true	code-consistent	matches-impl-span	no	no-weakening	
parse/invalid/mid-file-bom.hd	M	78af8aa	parse	reject:unexpected-bom	01-lexical-structure.md#processing-model	error:unexpected-bom	unexpected-bom	2	2	true	code-consistent	matches-impl-span	no	no-weakening	
parse/invalid/multi-binding-needs-parentheses.hd	M	78af8aa	parse	reject:multi-binding-needs-parentheses	02-grammar.md#expressions	error:multi-binding-needs-parentheses	multi-binding-needs-parentheses	3	3	true	code-consistent	matches-impl-span	no	no-weakening	
parse/invalid/mutable-embedded-field.hd	M	78af8aa	parse	reject:mutable-embedded-field	08-data-and-enums.md#data-embedding	error:mutable-embedded-field	mutable-embedded-field	5	5	true	code-consistent	matches-impl-span	no	no-weakening	
parse/invalid/mutable-field-modifier.hd	M	78af8aa	parse	reject:mutable-field-modifier	08-data-and-enums.md#data-declarations	error:mutable-field-modifier	mutable-field-modifier	2	2	true	code-consistent	matches-impl-span	no	no-weakening	
parse/invalid/named-pattern-before-positional.hd	M	78af8aa	parse	reject:pattern-order	02-grammar.md#patterns	error:pattern-order	pattern-order	6	6	true	code-consistent	matches-impl-span	no	no-weakening	
parse/invalid/old-export-declaration.hd	M	78af8aa	parse	reject:old-export-declaration	02-grammar.md#use-declarations	error:old-export-declaration	old-export-declaration	2	2	true	code-consistent	matches-impl-span	no	no-weakening	
parse/invalid/old-import-declaration.hd	M	78af8aa	parse	reject:old-import-declaration	02-grammar.md#use-declarations	error:old-import-declaration	old-import-declaration	2	2	true	code-consistent	matches-impl-span	no	no-weakening	
parse/invalid/old-struct-declaration.hd	M	78af8aa	parse	reject:old-struct-declaration	08-data-and-enums.md#data-declarations	error:old-struct-declaration	old-struct-declaration	2	2	true	code-consistent	matches-impl-span	no	no-weakening	
