# commit bd985d7; command: node --experimental-strip-types audit/scripts/blind/run-blind.ts (see run.log); date 2026-09-25
fixture	area	phase	expectation	observed	verdict	triage class	note
fixtures/a1-named-arguments-source-order.hd	1	runtime	accept	as expected	PASS	-	route=fixture
fixtures/a1-short-circuit-and-conditional.hd	1	runtime	accept	as expected	PASS	-	route=fixture
fixtures/a1-bang-call-arguments-before-body.hd	1	runtime	accept	as expected	PASS	-	route=fixture
fixtures/a1-operands-across-suspension.hd	1	runtime	accept	as expected	PASS	-	route=fixture
fixtures/a1-assignment-evaluation-order.hd	1	runtime	accept	as expected	PASS	-	route=fixture
fixtures/a1-map-literal-and-comprehension-order.hd	1	runtime	accept	as expected	PASS	-	route=fixture
fixtures/a1-propagation-before-cleanup.hd	1	runtime	accept	as expected	PASS	-	route=fixture
fixtures/a2-cancel-nested-frames-order.hd	2	runtime	accept	as expected	PASS	-	route=conformance
fixtures/a2-cancel-loop-and-branch-scopes.hd	2	runtime	accept	as expected	PASS	-	route=conformance
fixtures/a2-cancel-provider-scope-cleanup.hd	2	runtime	accept	as expected	PASS	-	route=conformance
fixtures/a2-cancel-cold-and-completed.hd	2	runtime	accept	as expected	PASS	-	route=fixture
fixtures/a2-drive-cancelled-suspension-panics.hd	2	runtime	panic:suspension-invalid-state	as expected	PASS	-	route=conformance
fixtures/a2-defer-cancels-active-ancestor.hd	2	runtime	panic:suspension-reentrant-poll	as expected	PASS	-	route=conformance
fixtures/a2-defer-transitive-block-on.hd	2	type	reject:suspension-forbidden-context	as expected	PASS	-	route=conformance
fixtures/a2-defer-suspending-vs-cold.hd	2	type	reject:suspending-defer	as expected	PASS	-	route=conformance
fixtures/a3-nested-provider-restoration.hd	3	runtime	accept	as expected	PASS	-	route=fixture
fixtures/a3-subtraction-restores-provider.hd	3	runtime	accept	as expected	PASS	-	route=fixture
fixtures/a3-row-union-and-order.hd	3	runtime	accept	as expected	PASS	-	route=fixture
