source	result	detail
audit/evidence/03-fuzz/findings/F-300-ref-nested-function-type.hd	skipped	reference-parser finding; covered by W4 fixtures in spec/conformance/parse/
audit/evidence/03-fuzz/findings/F-301-ref-unicode-escape.hd	skipped	reference-parser finding; covered by W4 fixtures in spec/conformance/parse/
audit/evidence/03-fuzz/findings/F-302-ref-context-entry-order.hd	skipped	reference-parser finding; covered by W4 fixtures in spec/conformance/parse/
audit/evidence/03-fuzz/findings/F-303-ref-lone-dollar.hd	skipped	reference-parser finding; covered by W4 (parse/invalid/stray-dollar.hd)
audit/evidence/03-fuzz/findings/F-304-impl-result-payload-unchecked.hd	added	typing/invalid/result-ok-payload-type-mismatch.hd (type-mismatch is now a general inventoried code; the unused non-pub main was dropped)
audit/evidence/03-fuzz/findings/F-305-impl-discard-void-try-wat.hd	added	runtime/valid/discard-propagated-void-result.hd (converted to a runtime case: a test block checks the Ok(1) result)
audit/evidence/03-fuzz/findings/F-306-impl-run-without-main.hd	added	runtime/valid/no-entry-point-no-tests.hd (the `run` action is not in the command contract; under README Runtime Execution, `test` of a module with no entry point and no tests succeeds)
audit/evidence/03-fuzz/findings/F-307-impl-result-main.hd	added	runtime/valid/result-entry-point-ok.hd
audit/evidence/03-fuzz/findings/F-308-impl-private-main-requirement.hd	skipped	duplicate: identical source already indexed as typing/valid/nonpublic-main-ordinary.hd (L4: a non-pub main is an ordinary function)
audit/evidence/03-fuzz/findings/F-309-impl-same-line-else.hd	added	parse/valid/binding-same-line-if-else.hd (02-grammar statements: `y := if c: 1 else: 2` is a statement; the statement-position form is already in parse/valid/nested-layout.hd)
audit/evidence/03-fuzz/findings/F-310-impl-colon-line.hd	skipped	code not settled: no postfix expression precedes the `:`, and there is no trailing block, so neither trailing-block-position (07: only one trailing block) nor syntax-error is named by the spec for this line; the reference parser reports syntax-error
audit/evidence/03-fuzz/findings/F-311-impl-continuation-suite-indent.hd	skipped	code not settled: 01 requires the first body line to be indented past the header, but names no code; unexpected-indentation means "indented where layout does not open a suite", which does not describe an under-indented body
audit/evidence/03-fuzz/findings/F-312-impl-decorator-misreported.hd	skipped	duplicate: parse/valid/decorators.hd covers a top-level @derive
audit/evidence/03-fuzz/findings/F-313-spec-uninventoried-code.hd	added	typing/invalid/top-level-let-annotation-type-mismatch.hd (the spec gap is closed by D7; no existing fixture covered a top-level annotated let)
audit/evidence/03-fuzz/findings/F-314-spec-inline-suite-comma.hd	skipped	duplicate: D11 decided layout wins; parse/invalid/same-line-suite-comma.hd is the same case
audit/evidence/03-fuzz/findings/F-315-impl-local-data.hd	skipped	duplicate: typing/valid/local-types.hd declares local data, enum, trait, and type inside a function
audit/evidence/03-fuzz/findings/F-316-impl-pub-inherent-method.hd	skipped	duplicate: parse/valid/declarations.hd uses pub fn in an inherent impl
audit/probes/gaps/g01a-readonly-closure-capture.hd	added	typing/invalid/readonly-closure-capture-mutation.hd
audit/probes/gaps/g01b-readonly-loop-element.hd	added	typing/invalid/readonly-loop-element-mutation.hd (06 for-loops: iteration does not grant mutable element access because the root is mutable)
audit/probes/gaps/g01c-control-mut-loop-element.hd	added	typing/valid/mutable-loop-element-mutation.hd
audit/probes/gaps/g02-argument-evaluation-order.hd	added	runtime/valid/callee-and-operand-evaluation-order.hd (named-argument test dropped: blind a1-named-arguments-source-order covers it; receiver-before-index is covered by evaluation-order-elements-and-indexing.hd)
audit/probes/gaps/g03a-defer-on-cancellation.hd	skipped	duplicate: runtime/valid/cancellation-lifo-across-three-frames.hd (from blind a2-cancel-nested-frames-order) checks LIFO within a frame and innermost-frame-first
audit/probes/gaps/g03b-control-no-defer.hd	skipped	negative control designed to fail; the fixture format has no expected-failure outcome
audit/probes/gaps/g04a-second-drive-via-helper.hd	added	runtime/panic/block-on-completed-suspension.hd
audit/probes/gaps/g04b-drive-after-cancel.hd	added	runtime/panic/block-on-cancelled-suspension.hd (existing drive-cancelled-suspension.hd covers the bang-call driver; this covers block_on)
audit/probes/gaps/g04c-control-cancel-after-complete.hd	skipped	duplicate: runtime/valid/cancel-cold-and-completed-suspension.hd (from blind a2-cancel-cold-and-completed) cancels a completed suspension twice. The probe as written was also wrong under ch11: it called block_on in a test block, which is an active driver, so block_on panics with suspension-nested-driver
audit/probes/gaps/g05a-row-subtraction.hd	skipped	duplicate: runtime/valid/row-subtraction-provider-restoration.hd
audit/probes/gaps/g05b-control-no-subtraction.hd	added	typing/invalid/row-parameter-propagates-callback-requirement.hd (adapted for round-2 I6: caller made pub so an omitted clause still means the empty row)
audit/probes/gaps/g05c-subtraction-keeps-other-keys.hd	added	typing/invalid/row-subtraction-keeps-other-keys.hd (adapted for I6: caller made pub)
audit/probes/gaps/g06a-nan-ordering.hd	added	runtime/valid/f64-nan-ordering.hd (extended: NaN on either side and against itself; partly overlaps blind nan-ordering-composites.hd, kept because it uses no generic bound, so it isolates F-160 from F-500)
audit/probes/gaps/g06b-control-float-ordering.hd	added	runtime/valid/f64-ordering-operators.hd (extended to all four operators, true and false cases; merged with coordinator/f64-lt.hd)
audit/probes/gaps/g06c-nan-tuple-ordering.hd	added	runtime/valid/tuple-ordering-nan-unordered.hd (all four operators; plus an ordered head deciding before a later NaN)
audit/probes/gaps/g06d-control-float-equality.hd	skipped	duplicate: runtime/valid/assert-equal-float-edge-values.hd asserts NaN != NaN and not (NaN == NaN)
audit/probes/gaps/g07a-iterator-invalidated-via-helper.hd	added	runtime/panic/for-iterator-invalidated-via-helper.hd (moved from module top level into a test block)
audit/probes/gaps/g07b-control-replacement-keeps-iterator.hd	skipped	duplicate: blind a7-shape-versus-value-changes (list replacement during for is observed)
audit/probes/gaps/g07c-map-insert-during-for.hd	skipped	duplicate: blind a7-for-map-insert-panics
