path	phase	expectation	specification	area	note
fixtures/a1-named-arguments-source-order.hd	runtime	accept	05-expressions.md#calls	1	
fixtures/a1-short-circuit-and-conditional.hd	runtime	accept	05-expressions.md#evaluation-order	1	also 06 conditional-expressions and match-expressions (guards)
fixtures/a1-bang-call-arguments-before-body.hd	runtime	accept	11-requirements-and-suspension.md#suspending-functions	1	cold construction evaluates arguments; 05#calls for bang-call order
fixtures/a1-operands-across-suspension.hd	runtime	accept	05-expressions.md#evaluation-order	1	interpolation tags are locals because the reference parser rejects string literals inside ${...} (AMB-01)
fixtures/a1-assignment-evaluation-order.hd	runtime	accept	05-expressions.md#expression-categories	1	AMB-18: assumes a call returning mut T is a valid receiver for a field or index place
fixtures/a1-map-literal-and-comprehension-order.hd	runtime	accept	05-expressions.md#list-and-map-expressions	1	also 05#comprehensions
fixtures/a1-propagation-before-cleanup.hd	runtime	accept	05-expressions.md#propagation	1	also 06#deferred-cleanup (propagated value evaluated before cleanup)
fixtures/a2-cancel-nested-frames-order.hd	runtime	accept	11-requirements-and-suspension.md#cancellation	2	cancellation-cleanup scenario; trace excludes post-wait statements so normal completion fails; AMB-06
fixtures/a2-cancel-loop-and-branch-scopes.hd	runtime	accept	06-control-flow.md#deferred-cleanup	2	cancellation-cleanup scenario; loop-body and if suites are cleanup scopes; AMB-06
fixtures/a2-cancel-provider-scope-cleanup.hd	runtime	accept	06-control-flow.md#deferred-cleanup	2	cancellation-cleanup scenario; provider scopes are cleanup scopes; AMB-06
fixtures/a2-cancel-cold-and-completed.hd	runtime	accept	11-requirements-and-suspension.md#suspendt-protocol	2	cancel is idempotent; cold cancel has no cleanup
fixtures/a2-drive-cancelled-suspension-panics.hd	runtime	panic:suspension-invalid-state	11-requirements-and-suspension.md#suspendt-protocol	2	
fixtures/a2-defer-cancels-active-ancestor.hd	runtime	panic:suspension-reentrant-poll	11-requirements-and-suspension.md#suspendt-protocol	2	AMB-05: marker on the driving line, following spec/conformance reentrant-cancel.hd; the cancel line is the other candidate
fixtures/a2-defer-transitive-block-on.hd	type	reject:suspension-forbidden-context	06-control-flow.md#deferred-cleanup	2	transitive; plain-helper twin in the same file must not be diagnosed
fixtures/a2-defer-suspending-vs-cold.hd	type	reject:suspending-defer	06-control-flow.md#deferred-cleanup	2	twin constructs and cancels a cold suspension inside defer (not a suspending operation)
fixtures/a3-nested-provider-restoration.hd	runtime	accept	11-requirements-and-suspension.md#provider-scopes	3	explicit-before-spread form avoided because the reference parser rejects it (AMB-03)
fixtures/a3-subtraction-restores-provider.hd	runtime	accept	11-requirements-and-suspension.md#requirement-polymorphism	3	third test combines subtraction with 07#captures provider capture
fixtures/a3-row-union-and-order.hd	runtime	accept	11-requirements-and-suspension.md#requirement-rows	3	union, set order, least solution for r + K, (r - K) + K entails r
