F-100	minor	spec		The first implementation commit closed three open design issues with no fixtures	F-100-open-issues-closed-in-implementation-commit.md
F-101	minor	correctness		Parameter and data-field defaults reject any read of a top-level binding	F-101-defaults-reject-top-level-reads.md
F-102	minor	test-integrity		Marker lines are normative, but the spec defines no location rule and every checked line equals the MVP's span	F-102-marker-lines-encode-mvp-spans.md
F-150	minor	test-integrity		Reject cases pass even when unrelated errors are also reported	F-150-reject-cases-ignore-extra-errors.md
F-151	minor	test-integrity		A `# diagnostic:` marker is satisfied by a warning with the same code	F-151-diagnostic-marker-satisfied-by-warning.md
F-152	minor	test-integrity		Panic expectations match the code anywhere in stdout or stderr	F-152-panic-code-matched-anywhere-in-output.md
F-153	major	test-integrity		`# panic: runtime-error` accepts any failing exit, including compiler crashes	F-153-runtime-error-panic-accepts-crashes.md
F-154	minor	test-integrity		Runtime scenario cases never run their test blocks	F-154-scenario-runs-skip-test-blocks.md
F-155	minor	runtime		Runtime panics carry no source location, so panic marker lines are never checked	F-155-panic-line-unchecked-and-unreported.md
F-156	note	test-integrity		`# expect-result` compares all of stdout, not the entry's return value	F-156-expect-result-compares-stdout.md
F-160	major	correctness		Any f64 `<`, `<=`, `>`, or `>=` crashes code generation	F-160-f64-relational-operators-crash-compiler.md
F-161	minor	runtime		Unbounded recursion crashes the host instead of panicking with `stack-exhausted`	F-161-stack-exhaustion-is-a-host-crash.md
F-162	minor	runtime		`hd run` and `hd test` crash with stack traces on entry-shape errors	F-162-cli-entry-misuse-crashes.md
F-163	major	correctness		Comparing a readonly list binding with a list literal is rejected	F-163-list-literal-operand-type-mismatch.md
F-200	major	spec		Fixture directives and the runner command contract are defined outside spec/	F-200-fixture-format-defined-outside-spec.md
F-201	major	correctness		29 fixtures use undeclared requirement keys that the compiler wrongly accepts	F-201-fixtures-depend-on-undeclared-requirement-keys.md
F-202	major	test-integrity		`expect-result` compares JavaScript formatting of Wasm return values, not a specified rendering	F-202-expect-result-uses-host-formatting.md
F-204	minor	test-integrity		Three panic fixtures mark a line that does not cause the panic	F-204-panic-lines-never-checked.md
F-205	major	spec		Half of test/fixtures reject markers use diagnostic codes that spec/README.md does not define	F-205-fixture-codes-missing-from-spec.md
F-206	minor	spec		The reference parser disagrees with spec/01 on four lexical rules	F-206-reference-parser-lexical-gaps.md
F-207	minor	test-integrity		The located-diagnostic check requires the implementation to echo the runner's absolute path verbatim	F-207-located-check-needs-verbatim-path.md
F-208	minor	test-integrity		Four reject cases repeat their code on other lines, so the marker does not isolate one construct	F-208-reject-cases-with-extra-errors.md
F-209	note	test-integrity		test/fixtures has no phase, so lexer and parser rejections run through `check`	F-209-parse-fixtures-run-through-check.md
F-210	minor	test-integrity		Nineteen fixtures claim runtime or implementation behavior their oracle cannot observe	F-210-weak-runtime-oracles.md
F-211	note	test-integrity		118 fixtures share `# test:` names, so portable failures cannot be traced to a file	F-211-duplicate-test-names.md
F-212	minor	spec		Two harness hooks cannot be built from their description, and one is implemented nowhere	F-212-harness-hooks-underspecified.md
F-250	major	coverage	F-405	Deferred features are rejected with generic or wrong diagnostics, not structured unsupported diagnostics	F-250-deferred-features-lack-structured-diagnostics.md
F-251	major	correctness	F-351	A plain `fn` closure may mutate a captured mutable list; the program is accepted and runs	F-251-plain-closure-mutates-captures.md
F-252	major	correctness		The parser rejects core chapter-02 forms that the reference parser accepts	F-252-parser-rejects-core-grammar.md
F-253	minor	coverage		Sized numeric types (i8-i64, u8-u64, f32) are unimplemented and not listed as deferred	F-253-sized-numeric-types-unsupported.md
